Orthogroup	Amel_filteredTranscripts	Apisu_filteredTranscripts	Brsri_filteredTranscripts	Csecu_filteredTranscripts	Dmela_filteredTranscripts	Samer_filteredTranscripts	Scanc_filteredTranscripts	Sgreg_filteredTranscripts	Sinvi_filteredTranscripts	Snite_filteredTranscripts	Spice_filteredTranscripts	Sscub_filteredTranscripts	Total
OG0000292	0	0	1	0	22	0	0	0	0	0	0	0	23
OG0000293	0	0	0	0	23	0	0	0	0	0	0	0	23
OG0000294	0	0	0	0	0	3	1	1	0	10	1	7	23
OG0000295	0	0	0	0	0	3	1	0	0	9	6	4	23
OG0000296	0	0	0	0	0	5	3	1	0	7	3	4	23
OG0000297	0	0	0	0	0	1	4	1	0	9	3	5	23
OG0000298	0	0	0	0	0	0	0	0	23	0	0	0	23
OG0000299	0	0	0	0	0	0	0	0	23	0	0	0	23
OG0000300	1	3	2	1	1	2	2	2	1	3	2	2	22
OG0000301	1	9	1	1	2	1	1	1	2	1	1	1	22
OG0000302	1	2	2	3	1	2	2	2	1	2	2	2	22
OG0000303	2	1	1	1	1	3	3	2	2	2	2	2	22
OG0000304	1	2	2	1	3	2	2	2	1	2	2	2	22
OG0000305	1	5	0	3	0	2	2	2	1	2	2	2	22
OG0000306	1	1	1	1	1	2	3	3	1	3	2	3	22
OG0000307	1	0	1	0	1	3	2	3	1	0	5	5	22
OG0000308	2	2	1	1	2	2	2	2	2	2	2	2	22
OG0000309	1	5	1	1	1	2	2	2	1	2	2	2	22
OG0000310	1	2	1	1	2	2	2	2	1	2	4	2	22
OG0000311	1	1	2	2	1	2	2	2	3	2	2	2	22
OG0000312	1	1	0	1	1	3	3	3	1	3	2	3	22
OG0000313	1	2	3	2	1	2	2	2	1	2	2	2	22
OG0000314	1	1	1	1	1	3	3	2	1	3	2	3	22
OG0000315	1	1	1	1	1	1	2	1	1	1	10	1	22
OG0000316	1	8	2	2	2	1	1	1	1	1	1	1	22
OG0000317	2	2	3	2	2	1	2	2	2	2	1	1	22
OG0000318	0	1	4	2	1	2	2	2	2	2	2	2	22
OG0000319	0	1	0	2	0	6	5	0	0	2	3	3	22
OG0000320	0	22	0	0	0	0	0	0	0	0	0	0	22
OG0000321	0	22	0	0	0	0	0	0	0	0	0	0	22
OG0000322	0	22	0	0	0	0	0	0	0	0	0	0	22
OG0000323	0	1	0	21	0	0	0	0	0	0	0	0	22
OG0000324	0	1	0	0	0	2	3	0	0	8	6	2	22
OG0000325	0	0	1	0	0	3	4	4	0	4	3	3	22
OG0000326	0	0	3	0	0	3	4	3	0	3	3	3	22
OG0000327	0	0	1	4	0	3	2	4	0	3	2	3	22
OG0000328	0	0	0	1	0	4	5	4	0	0	4	4	22
OG0000329	0	0	0	0	22	0	0	0	0	0	0	0	22
OG0000330	0	0	0	0	0	3	3	5	0	3	5	3	22
OG0000331	0	0	0	0	0	7	7	0	0	6	2	0	22
OG0000332	0	0	0	0	0	5	6	1	0	5	5	0	22
OG0000333	0	0	0	0	0	3	17	0	0	0	1	1	22
OG0000334	0	0	0	0	0	0	0	0	21	0	0	1	22
OG0000335	0	0	0	0	0	0	0	0	22	0	0	0	22
OG0000336	21	0	0	0	0	0	0	0	0	0	0	0	21
OG0000337	1	4	1	2	2	1	1	1	4	2	1	1	21
OG0000338	1	4	1	1	1	2	2	2	1	2	2	2	21
OG0000339	1	1	2	2	1	2	2	2	1	2	2	3	21
OG0000340	2	1	2	1	1	2	2	3	1	2	2	2	21
OG0000341	1	3	2	1	1	2	2	2	1	2	2	2	21
OG0000342	1	8	1	1	2	1	1	1	2	1	1	1	21
OG0000343	2	2	1	2	2	2	2	1	1	2	2	2	21
OG0000344	1	2	6	4	1	1	1	1	1	1	1	1	21
OG0000345	1	1	2	2	2	2	2	2	1	2	2	2	21
OG0000346	1	6	2	1	1	0	1	1	1	5	1	1	21
OG0000347	2	1	1	1	1	2	2	2	2	2	3	2	21
OG0000348	1	1	1	1	4	2	2	2	1	2	2	2	21
OG0000349	1	0	0	0	0	0	0	0	20	0	0	0	21
OG0000350	3	1	1	7	2	1	1	1	1	1	1	1	21
OG0000351	1	1	3	8	1	1	1	1	1	1	1	1	21
OG0000352	4	2	3	4	2	1	0	1	1	1	1	1	21
OG0000353	1	2	1	2	2	2	2	2	1	2	2	2	21
OG0000354	1	1	3	2	1	2	2	2	1	2	2	2	21
OG0000355	1	1	0	0	1	2	2	2	6	2	2	2	21
OG0000356	1	2	1	1	3	2	2	2	1	2	2	2	21
OG0000357	1	2	2	1	2	2	2	2	1	2	2	2	21
OG0000358	0	7	1	1	0	2	2	2	0	2	2	2	21
OG0000359	0	21	0	0	0	0	0	0	0	0	0	0	21
OG0000360	0	5	13	0	0	0	0	0	3	0	0	0	21
OG0000361	0	21	0	0	0	0	0	0	0	0	0	0	21
OG0000362	0	5	5	0	0	0	2	1	6	0	1	1	21
OG0000363	0	0	11	0	0	1	0	1	6	0	0	2	21
OG0000364	0	0	0	21	0	0	0	0	0	0	0	0	21
OG0000365	0	0	0	0	0	6	2	0	0	4	4	5	21
OG0000366	0	0	0	0	0	3	3	3	0	2	4	6	21
OG0000367	0	0	0	0	0	3	11	1	0	3	1	2	21
OG0000368	0	0	0	0	0	21	0	0	0	0	0	0	21
OG0000369	0	0	0	0	0	0	0	21	0	0	0	0	21
OG0000370	0	0	0	0	0	0	0	0	21	0	0	0	21
